favorite_count,retweet_count,tweet_id
57777,12205,868880397819494401
0,1744,868639477480148993
23582,4447,868622495443632128
8941,1744,868552278524837888
21541,3554,867900495410671616
30179,6228,867774946302451713
14306,2109,867421006826221569
0,100,867072653475098625
28621,6755,867051520902168576
17817,4120,866720684873056260
17079,2953,866686824827068416
108550,30071,866450705531457537
46448,12162,866334964761202691
0,7138,866094527597207552
22861,4818,865718153858494464
23532,4272,865359393868664832
24976,6637,865006731092295680
28771,7477,864873206498414592
13035,2571,864279568663928832
26567,7558,864197398364647424
18388,3579,863907417377173506
13639,3613,863553081350529029
0,2085,863471782782697472
21232,4545,863432100342583297
1955,80,863427515083354112
7881,949,863079547188785154
7503,2085,863062471531167744
17188,4446,862831371563274240
15284,3077,862722525377298433
18229,4232,862457590147678208
66088,19916,862096992088072192
32203,9232,861383897657036800
15315,3577,861288531465048066
14952,3322,861005113778896900
0,1850,860981674716409858
0,676,860924035999428608
6705,1850,860563773140209665
21203,4587,860524505164394496
16538,3057,860276583193509888
14970,5107,860184849394610176
0,26629,860177593139703809
17592,3573,859924526012018688
13950,3060,859851578198683649
16797,1361,859607811541651456
80327,26184,859196978902773760
30352,11925,859074603037188101
0,7057,858860390427611136
14084,3019,858843525470990336
19428,4244,858471635011153920
14199,2534,858107933456039936
14462,2261,857989990357356544
30730,9317,857746408056729600
5294,1436,857393404942143489
18211,3960,857263160327368704
203,16,857214891891077121
0,146,857062103051644929
17007,3473,857029823797047296
14796,2534,856543823941562368
10800,1651,856526610513747968
488,15,856288084350160898
25175,5565,856282028240666624
303,21,855862651834028034
4397,848,855860136149123072
10838,1854,855857698524602368
41820,16082,855851453814013952
24232,4800,855818117272018944
27035,7286,855459453768019968
0,5251,855245323840757760
0,36,855138241867124737
20634,5331,854732716440526848
26516,6001,854482394044301312
17159,4135,854365224396361728
29168,6574,854120357044912130
14809,2786,854010172552949760
26020,5105,853760880890318849
31469,8843,853639147608842240
14135,3162,853299958564483072
0,1783,852936405516943360
8231,1593,852912242202992640
13616,1905,852672615818899456
14867,3102,852553447878664193
30290,8847,852311364735569921
18312,6074,852226086759018497
10558,1416,852189679701164033
14928,3122,851591660324737024
22227,6293,851464819735769094
18995,5161,851224888060895234
28082,8058,850753642995093505
12054,2325,850380195714523136
3186,301,850333567704068097
15021,3387,850145622816686080
18744,4357,850019790995546112
27872,6800,849776966551130114
0,4435,849668094696017920
14653,2822,849412302885593088
10543,1684,849336543269576704
38931,7604,849051919805034497
23231,3914,848690551926992896
22789,4143,848324959059550208
7533,644,848213670039564288
15011,2712,848212111729840128
0,2914,847978865427394560
0,394,847971574464610304
21700,4563,847962785489326080
5004,1186,847842811428974592
6458,376,847617282490613760
17325,3075,847606175596138505
18936,3909,847251039262605312
18343,5243,847157206088847362
19841,2870,847116187444137987
18587,3542,846874817362120707
41096,10354,846514051647705089
13046,2755,846505985330044928
29042,8149,846153765933735936
28755,9146,846139713627017216
14788,2582,846042936437604353
26970,7845,845812042753855489
23393,4372,845677943972139009
7077,1618,845397057150107648
21577,4847,845306882940190720
0,6929,845098359547420673
12653,2306,844979544864018432
13912,2843,844973813909606400
15271,2807,844580511645339650
12679,1986,844223788422217728
14087,2698,843981021012017153
19926,4164,843856843873095681
15668,2476,843604394117681152
19931,5389,843235543001513987
14194,3311,842846295480000512
6284,1175,842765311967449089
16886,3168,842535590457499648
22692,5251,842163532590374912
13010,2756,842115215311396866
0,13533,841833993020538882
24006,7143,841680585030541313
11704,3309,841439858740625411
18388,5012,841320156043304961
14720,4227,841314665196081154
21302,4880,841077006473256960
0,1619,840761248237133825
0,14567,840728873075638272
163,2,840698636975636481
11462,889,840696689258311684
8415,1619,840632337062862849
15315,4171,840370681858686976
17862,5205,840268004936019968
12516,2063,839990271299457024
25529,7057,839549326359670784
0,132,839290600511926273
25190,5924,839239871831150596
18339,3658,838952994649550848
10406,1853,838921590096166913
0,31,838916489579200512
0,10001,838831947270979586
10233,1230,838561493054533637
20937,4334,838476387338051585
0,9159,838201503651401729
1567,302,838150277551247360
133,1,838085839343206401
16437,2834,838083903487373313
31788,7138,837820167694528512
3600,405,837482249356513284
11968,2058,837471256429613056
15052,2175,837110210464448512
11930,2108,836989968035819520
18095,4256,836753516572119041
11830,2020,836677758902222849
0,507,836648853927522308
0,25030,836397794269200385
13883,2745,836380477523124226
19921,3975,836260088725786625
17863,3881,836001077879255040
0,7404,835685285446955009
16620,3293,835574547218894849
0,1540,835536468978302976
0,19121,835309094223372289
15409,2734,835297930240217089
7219,1540,835264098648616962
1988,63,835246439529840640
24529,5286,835172783151792128
20908,2755,835152434251116546
10082,1488,834931633769889797
20186,5104,834786237630337024
12790,2307,834574053763584002
0,9745,834477809192075265
9020,1544,834458053273591808
19208,4318,834209720923721728
14808,3358,834167344700198914
9430,1961,834089966724603904
12219,2037,834086379323871233
12597,2205,833863086058651648
17052,3483,833826103416520705
0,204,833732339549220864
19645,2993,833722901757046785
13980,1886,833479644947025920
18962,4435,833124694597443584
12401,2008,832998151111966721
0,38,832769181346996225
15824,3314,832757312314028032
11114,2663,832682457690300417
2732,484,832645525019123713
14863,2555,832636094638288896
11218,2035,832397543355072512
16049,2914,832369877331693569
10634,2140,832273440279240704
0,5710,832215909146226688
0,8571,832215726631055365
59,2,832088576586297345
0,8805,832040443403784192
16741,4296,832032802820481025
22445,5648,831939777352105988
319,34,831926988323639298
25788,5958,831911600680497154
9773,1686,831670449226514432
